2025-09-25 10:49:17.928879 | Acesso ao endpoint /
2025-09-25 10:49:18.017600 | Acesso ao endpoint /about
2025-09-25 11:24:00.651198 | Acesso ao endpoint /
2025-09-25 11:24:00.710109 | Acesso ao endpoint /about
2025-09-25 11:24:00.769460 | Healthcheck executado
2025-09-25 11:27:26.802483 | Acesso ao endpoint /
2025-09-25 11:27:26.860794 | Acesso ao endpoint /about
2025-09-25 11:27:26.919760 | Healthcheck executado
2025-09-25 11:28:49.837620 | Acesso ao endpoint /
2025-09-25 11:28:49.897598 | Acesso ao endpoint /about
2025-09-25 11:28:49.950902 | Healthcheck executado
2025-09-25 11:29:09.731641 | Acesso ao endpoint /
2025-09-25 11:29:09.789694 | Acesso ao endpoint /about
2025-09-25 11:29:09.850002 | Healthcheck executado
2025-09-25 11:30:34.829257 | Acesso ao endpoint /
2025-09-25 11:30:34.884740 | Acesso ao endpoint /about
2025-09-25 11:30:34.944512 | Healthcheck executado
2025-09-25 11:31:27.073811 | Acesso ao endpoint /
2025-09-25 11:31:27.196487 | Acesso ao endpoint /about
2025-09-25 11:31:27.298213 | Healthcheck executado
2025-09-25 11:31:48.460341 | Acesso ao endpoint /
2025-09-25 11:31:48.517548 | Acesso ao endpoint /about
2025-09-25 11:31:48.575719 | Healthcheck executado
2025-09-25 11:32:05.881017 | Acesso ao endpoint /
2025-09-25 11:32:05.935691 | Acesso ao endpoint /about
2025-09-25 11:32:05.993246 | Healthcheck executado
2025-09-25 12:03:19.081646 | Acesso ao endpoint /
2025-09-25 12:03:19.138888 | Acesso ao endpoint /about
2025-09-25 12:03:19.196328 | Healthcheck executado
2025-09-25 14:08:22.705431 | Acesso ao endpoint /
2025-09-25 14:08:22.765369 | Acesso ao endpoint /about
2025-09-25 14:08:22.824088 | Healthcheck executado
2025-09-27 16:59:59.098299 | Acesso ao endpoint /
2025-09-27 16:59:59.198634 | Acesso ao endpoint /about
2025-09-27 16:59:59.297352 | Healthcheck executado
2025-09-27 17:00:11.469953 | Acesso ao endpoint /
2025-09-27 17:00:11.554647 | Acesso ao endpoint /about
2025-09-27 17:00:11.636654 | Healthcheck executado
2025-09-27 17:07:38.031509 | Acesso ao endpoint /
2025-09-27 17:07:38.093589 | Acesso ao endpoint /about
2025-09-27 17:07:38.148807 | Healthcheck executado
2025-09-27 17:07:51.469737 | Acesso ao endpoint /
2025-09-27 17:07:51.524147 | Acesso ao endpoint /about
2025-09-27 17:07:51.577327 | Healthcheck executado
2025-10-28 11:38:39.093351 | Acesso ao endpoint /
2025-10-29 16:28:49.046465 | Acesso ao endpoint /
2025-10-29 16:30:31.044731 | Acesso ao endpoint /
2025-10-31 23:07:54.278386 | Acesso ao endpoint /
2025-10-31 23:11:46.524906 | Acesso ao endpoint /
2025-10-31 23:11:49.134467 | Acesso ao endpoint /
2025-10-31 23:12:20.253569 | Acesso ao endpoint /
